fips,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_warehouse_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,public_admin,other,year
2016,24844,52206,20362,34583,27321,34196,46250,28553,32250,40536,4688,55417,54967,2010
2020,51276,47184,44269,45389,25222,48468,49994,43004,61319,38813,20420,54278,31103,2010
2050,41250,31875,24375,NA,15071,30560,25714,54009,60197,36176,12708,27763,17543,2010
2060,53125,60625,NA,55000,47083,43750,61500,NA,66750,45833,NA,75893,57500,2010
2068,NA,81563,NA,NA,46667,31250,9583,NA,75060,33229,50192,53214,72596,2010
2070,16250,57750,11528,NA,21125,33125,51750,34500,43889,41776,19750,43500,50568,2010
2090,58125,45865,47260,40096,23309,44247,41106,36129,47135,36554,13699,51764,32427,2010
2100,58750,51071,30446,NA,14792,21467,NA,9273,51250,42784,61250,46641,14219,2010
2105,30000,40521,43750,45750,23393,30833,21500,23125,NA,28194,45893,28750,32813,2010
2110,67917,41797,35556,41167,20500,41096,36806,44970,43300,36569,10500,52354,26830,2010
2122,43167,44154,48274,43125,22537,53537,55568,30833,43913,31408,19375,46114,28164,2010
2130,46346,36875,31883,19219,25027,50308,24934,28684,33661,42018,26635,52125,32788,2010
2150,54783,38170,17287,22692,21171,50227,72917,23750,51821,33686,11667,51042,22279,2010
2164,46250,39167,26250,NA,43958,31750,5625,NA,22000,23365,NA,26250,NA,2010
2170,16375,45980,36211,56019,26495,53856,49432,37444,51713,36168,13214,59155,30984,2010
2180,43224,55357,28750,NA,16978,32188,45417,30694,105313,36486,5938,33750,25588,2010
2185,NA,35795,NA,NA,14063,33750,58587,48958,88000,41625,19737,42454,5909,2010
2188,51667,32308,NA,61250,10481,30250,55208,42500,60833,35286,11354,34702,19750,2010
2195,50347,34236,48750,NA,29020,31146,NA,38333,"2,500-",35938,28177,44659,21364,2010
2198,42422,51473,23438,39219,16830,29938,22143,30036,4500,27159,27250,40536,22857,2010
2220,51250,57054,37833,47083,28139,33425,51111,44167,4872,40640,9313,44231,35982,2010
2230,NA,53229,NA,NA,30833,50625,NA,NA,"2,500-",39375,34318,61250,42708,2010
2240,11169,44554,41964,44226,20000,34625,64732,21806,47315,40605,72917,63672,16739,2010
2261,35882,62614,71780,41429,26899,60250,42708,29484,46509,29868,43333,39583,32321,2010
2270,38125,19375,10139,NA,11181,22500,8750,36429,12500,22051,6458,15758,19000,2010
2275,48594,48438,3125,38906,17109,39688,50357,9702,NA,36042,20486,33500,42222,2010
2282,27031,46563,23750,105875,52857,18750,NA,32500,36667,35417,54583,47375,19375,2010
2290,10536,35417,85208,NA,11719,26250,45313,30500,42000,26650,"2,500-",26442,14432,2010
4001,25234,30875,23093,19034,16119,45894,47721,31417,26550,29020,17264,32579,21006,2010
4003,22375,30767,42418,27941,19655,45191,50397,27642,60913,26752,20575,48128,18799,2010
4005,32958,30847,35810,47188,22137,40113,21619,34722,31068,30050,19882,38812,19686,2010
4007,50564,31956,32149,41576,17339,40625,50286,17321,30395,31206,22946,34793,13824,2010
4009,22198,26821,32016,36420,20610,43958,19615,36750,26875,21566,16146,40329,16042,2010
4011,26065,26053,20909,26932,12031,63250,"2,500-",18846,50063,25050,"2,500-",35986,30224,2010
4012,24238,29665,38816,40918,15011,50227,27031,23827,19205,25679,19938,32304,17443,2010
4013,22955,34115,46918,42484,24839,43133,41654,42225,53182,35278,23372,48619,24206,2010
4015,33636,29175,31115,38721,21564,42252,25845,32373,34578,26578,20484,39157,18388,2010
4017,24405,32176,32311,33328,19647,50145,24312,30128,26510,29122,16319,37660,16510,2010
4019,20644,29748,48607,33593,20843,40492,32512,32334,44406,30902,19131,44769,19179,2010
4021,25476,39285,44826,41188,22896,43829,41660,39601,45851,31526,20618,43421,24279,2010
4023,21653,22477,22813,27235,20782,20824,17428,27669,23375,25068,21556,42959,19228,2010
4025,19424,31773,31458,36190,23383,36345,29983,31996,35935,30641,23058,42629,19430,2010
4027,18463,27238,30552,32414,18937,36558,22847,28162,41266,28295,24492,44872,20750,2010
5001,26791,27589,34272,39643,20497,40197,29250,24236,22340,30814,14500,25238,21401,2010
5003,21392,28056,50170,29792,17613,40343,22101,19941,35278,19995,NA,23986,26047,2010
5005,25855,21607,27169,25966,19736,24925,37750,28665,27895,24179,16895,33017,14427,2010
5007,30526,29514,31469,43484,32372,41273,31108,33734,51221,28850,13914,37668,22007,2010
5009,31331,28052,30082,21670,20400,33285,23333,28182,18977,22146,4931,32500,14783,2010
5011,32983,26375,26532,21713,13005,27083,23558,29722,62955,22566,3304,30700,27147,2010
5013,27455,21989,30833,NA,25574,33446,40625,23955,37422,19569,NA,22107,30900,2010
5015,32135,24491,24748,22742,20500,37289,40057,20775,38382,22260,11409,33063,18223,2010
5017,20016,27118,16837,27083,14018,27727,NA,22188,44866,16910,20000,20571,22841,2010
5019,12093,20685,29383,10455,13750,41992,21903,34500,35625,20306,13289,32989,18835,2010
5021,21601,26806,28095,21797,18451,34125,16250,23630,22824,25827,"2,500-",27639,16776,2010
5023,20417,25372,29920,16814,16291,37204,36500,27310,19024,23691,20250,36250,15264,2010
5025,33017,31625,28306,31176,21022,48469,22656,29931,51250,28750,NA,29960,18375,2010
5027,17239,30245,41943,32000,17478,21667,11250,21706,19375,23204,12353,23878,14913,2010
5029,25966,24899,33662,32857,20870,39191,48587,26189,26316,26653,20599,30903,13858,2010
5031,27146,27613,32552,40049,16632,37386,30469,25950,38235,28176,8421,33630,19153,2010
5033,21619,22470,30220,32465,18597,41651,25388,27936,30865,28086,20545,34596,19740,2010
5035,27857,32310,30837,35516,22877,36237,32361,35943,39375,29155,21047,30833,18469,2010
5037,25000,30208,26974,29643,16446,37770,29196,29598,39087,25750,51607,36542,20156,2010
5039,23125,49955,30642,29861,12805,26728,"2,500-",19265,NA,21083,NA,22000,10486,2010
5041,20914,32222,33221,30395,15662,36848,17212,19792,27083,23837,NA,37153,26985,2010
5043,38207,28750,32969,42554,14447,46316,40568,27188,32756,24667,"2,500-",26842,13558,2010
5045,19102,27032,37937,34898,18231,47432,52440,28360,45088,30095,10693,43897,18478,2010
5047,27404,22788,28814,36838,18639,26250,61750,30000,54375,25722,NA,29915,9708,2010
5049,11786,16099,25294,31176,25020,27500,21136,26618,26750,25385,30833,23664,80476,2010
5051,30242,29351,26974,40104,17590,43192,25565,24786,30727,29006,15081,33362,19530,2010
5053,42500,29792,34782,31439,25281,43942,41176,35432,44196,33161,21375,30993,21917,2010
5055,22546,27902,32481,36657,20263,43418,23194,27432,27344,24949,24000,28158,21969,2010
5057,31536,24291,23031,36892,15809,34545,27708,26440,29500,25484,19398,35662,17879,2010
5059,21350,25286,33141,32457,17244,44792,53929,29609,30288,26211,12431,26690,24291,2010
5061,21125,23235,21994,36490,18359,40000,30625,29844,9286,24292,23409,30063,11500,2010
5063,24565,28219,27753,26611,20739,34174,21250,18561,32204,24952,18958,24873,11933,2010
5065,25234,19850,26098,23500,13453,29792,53875,21644,36750,24938,9125,28000,9028,2010
5067,26094,23688,28281,21875,15915,30000,44444,27188,38750,20517,122679,26719,19531,2010
5069,25705,26741,33302,25342,16029,38958,22109,31222,41299,26863,15966,37690,16568,2010
5071,20056,25729,22041,25588,18639,35435,35938,29141,23750,27616,"2,500-",34286,17024,2010
5073,33438,21494,25030,42467,20083,30625,NA,37115,30250,16528,NA,22357,12237,2010
5075,25298,21639,28690,36094,15122,33068,37350,25000,35167,19424,NA,21167,12128,2010
5077,19922,23796,21125,31389,25641,38750,NA,21779,26600,21875,NA,31711,12955,2010
5079,19852,26830,25099,24602,14918,42721,38232,26689,21563,23750,4777,31423,13059,2010
5081,23198,26292,42538,29276,19199,27778,22589,25904,25385,28789,29022,37353,12074,2010
